key,canvasId,title,dueDate,type,assignmentGroup,points,canvasType,quizType,sprint,week,htmlFile,briefing
s2-orientation,582113,S2: Sprint 2 Orientation,2026-02-14,quiz,Sprint 2: Goal Setting,5,assignment,,2,4,activities/s2-orientation.html,"Meet your partner and begin understanding their world. The orientation frames what you're trying to do — don't skip it."
s2-goal-setting-part1,582114,S2: Goal Setting Part I — Preparation,2026-02-16,assignment,Sprint 2: Goal Setting,5,assignment,,2,4,assignments/s2-w5-goal-setting-part1.html,"What do you want to learn about solving problems for someone else? These goals shape how you approach discovery."
s2-goal-setting-part2,582115,S2: Goal Setting Part II — Partner Goals,2026-02-20,assignment,Sprint 2: Goal Setting,5,assignment,,2,5,assignments/s2-w5-goal-setting-part2.html,"Now that you've met your partner, set goals that are specific to what you've learned about their situation."
s2-discovery-doc,582875,S2: Discovery Deep Dive,2026-02-20,assignment,Sprint 2: Check-in/Engagement,10,assignment,,2,5,assignments/s2-w5-discovery-doc.html,"Go deeper than their first answer. What they told you and what they actually need are almost never the same thing — the Discovery Doc is where you find the gap."
s2-assumption-audit,582876,S2: Assumption Audit,2026-02-22,assignment,Sprint 2: Check-in/Engagement,5,assignment,,2,6,assignments/s2-w6-assumption-audit.html,"List what you think you know about your partner's problem, then mark each as confirmed, assumed, or unknown. The assumptions you don't examine are the ones that break your solution."
s2-reflection-4,582877,S2: Productive Reflection #4,2026-02-24,reflection,Sprint 2: Productive Reflections,5,assignment,,2,6,assignments/s2-w6-productive-reflection.html,"What surprised you about your partner's situation? If nothing surprised you, you may not have listened carefully enough."
s2-prep-w6,582878,S2: Week 6 Preparation,2026-02-25,assignment,Sprint 2: Check-in/Engagement,5,assignment,,2,6,assignments/s2-w6-prep.html,"Preparation for the narrowing session. Come ready to explain what you've learned and where your understanding is weakest."
s2-demo-design,582879,S2: Demo Design,2026-02-27,assignment,Sprint 2: Goal Setting,5,assignment,,2,6,assignments/s2-w6-demo-design.html,"Plan your demo structure. The 5-move demo tells: here's my partner, here's what I learned, here's what I built, here's where I was wrong, here's my human value."
s2-domain-learning,582880,S2: Domain Learning Plan,2026-02-28,assignment,Sprint 2: Check-in/Engagement,5,assignment,,2,7,assignments/s2-w7-domain-learning.html,"Research the science behind your partner's problem. The research changes your solution direction — that change is what makes the demo compelling."
s2-reflection-5,582882,S2: Productive Reflection #5,2026-03-06,reflection,Sprint 2: Productive Reflections,5,assignment,,2,7,assignments/s2-w7-productive-reflection.html,"What's the gap between what you planned and what you built? That gap is your learning — name it honestly."
s2-demo-prep,582885,S2: Final Prototype + Demo Prep,2026-03-08,assignment,Sprint 2: Demonstration,10,assignment,,2,8,assignments/s2-w8-demo-prep.html,"Final prototype plus demo preparation. Your partner should have seen this and given you their honest reaction before Demo Day."
s2-prototype,582881,S2: Prototype v1 + Build Log,2026-03-09,assignment,Sprint 2: Check-in/Engagement,20,assignment,,2,7,assignments/s2-w7-prototype.html,"Build v1 and document your reasoning in the Build Log. The log matters more than the prototype — it's evidence of how you think."
s2-partner-eval,582887,S2: Peer Observation,2026-03-11,ai-discussion,Sprint 2: Demonstration,5,assignment,,2,8,assignments/s2-w8-partner-eval.html,"Observe other demos through the NOTICE/INTERPRET/ASK lens. The gap between what the presenter claims and what you observe is the skill you're developing."
s2-bridge-reflection-2,582886,S2: Sprint 2→3 Bridge Reflection,2026-03-13,reflection,Sprint 2: Productive Reflections,5,assignment,,2,8,assignments/s2-w8-bridge-reflection.html,"Five foundational claims about this course. Connect each to your actual Sprint 1-2 work — honestly, not optimistically."
s3-claims-dojo,584778,S3 Prep: Claims in Practice,2026-03-14,ai-discussion,Sprint 3: Goal Setting,5,assignment,,3,9,assignments/s3-w9-claims-discussion.html,
s3-reflection-6,584780,S3: Weekly Build Reflection #1,2026-03-21,handwritten-reflection,Sprint 3: Productive Reflections,5,assignment,,3,9,assignments/s3-w9-reflection.html,
s3-problem-stake,584779,S3: Problem Stake Brief,2026-03-23,assignment,Sprint 3: Goal Setting,10,assignment,,3,9,assignments/s3-w9-problem-stake.html,
s3-stake-defense,586678,S3: Problem Stake Defense,2026-03-24,dojo,Sprint 3: Check-in/Engagement,10,assignment,,3,10,assignments/s3-w10-stake-defense.html,
s3-build-plan-v1,586994,S3: Build Plan v1,2026-03-27,assignment,Sprint 3: Check-in/Engagement,10,assignment,,3,10,assignments/s3-w10-build-plan.html,
s3-build-v1,586995,S3: Build v1,2026-03-27,assignment,Sprint 3: Check-in/Engagement,10,assignment,,3,10,assignments/s3-w10-build-v1.html,
s3-build-review,586996,S3: Build Review,2026-03-31,reflection,Sprint 3: Productive Reflections,10,assignment,,3,10,assignments/s3-w10-build-review.html,
s3-revised-plan,586997,S3: Revised Plan,2026-04-05,assignment,Sprint 3: Check-in/Engagement,5,assignment,,3,11,assignments/s3-w11-revised-plan.html,
s3-build-v2,586998,S3: Build v2,2026-04-07,assignment,Sprint 3: Check-in/Engagement,10,assignment,,3,11,assignments/s3-w11-build-v2.html,
